"Path","LineNumber","Match"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\docs\technical_debt_matches.csv","12","c:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\translations\pt\support\INSTITUTIONAL_SUPPORT_LETTERS_TEMPLATES.md,188,Transparência Metodológica: O enquadramento documenta explicitamente fontes de dados,"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\docs\technical_debt_matches.csv","13","c:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\translations\pt\support\INSTITUTIONAL_SUPPORT_LETTERS_TEMPLATES.md,202,Co-publicação do apêndice metodológico demográfico (se solicitado pela revista)"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\docs\technical_debt_matches.csv","14","c:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\translations\pt\support\INSTITUTIONAL_SUPPORT_LETTERS_TEMPLATES.md,315,Todo o código é open-source (licença MIT)"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\docs\technical_debt_matches.csv","15","c:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\translations\pt\README_TRANSLATIONS.md,61,Resumo (PORTUGUÊS) com objetivos + métodos + resultados"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\docs\technical_debt_matches.csv","16","c:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\translations\pt\presentations\PRESENTATION_DECK_OUTLINE_PT.md,56,✅ Banco Mundial comprometeu USD 80M para acesso energético (critérios seleção TBD)"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\docs\technical_debt_matches.csv","17","c:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\translations\pt\presentations\PRESENTATION_DECK_OUTLINE_PT.md,92,Método: Painel especialistas (Ministério, ONG, universidade) priorizaram"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\docs\technical_debt_matches.csv","21","c:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\translations\pt\presentations\ONE_PAGE_SUMMARY_PT.md,14,METODOLOGIA (3 linhas)"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\docs\technical_debt_matches.csv","22","c:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\translations\pt\presentations\ONE_PAGE_SUMMARY_PT.md,26,MÉTRICAS DE COMPETITIVIDADE (todos 12 avaliados)"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\docs\technical_debt_matches.csv","23","c:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\translations\pt\manuscript\SOL.tex,59,Metodologia: Integramos 6 camadas raster (irradiação solar GHI, declividade,...)"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\docs\technical_debt_matches.csv","24","c:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\translations\pt\manuscript\SOL.tex,78,Inovação metodológica: Primeira aplicação integrada de MCDA-SIG + AHP + protocolo de validação em campo"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\docs\technical_debt_matches.csv","25","c:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\translations\pt\manuscript\SOL.tex,80,Reprodutibilidade + Escalabilidade: Metodologia implementada em código aberto (Python/QGIS)"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\docs\technical_debt_matches_full.csv","2","""C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\docs\TECHNICAL_DEBT.md"",""24"",""Select-String -Path 'Full project\**\*.*' -Pattern 'TODO|TBD|DRAFT|FIXME|INCOMPLETE' -SimpleMatch |"""
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\docs\technical_debt_matches_full.csv","3","""C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\scripts\export_markers.ps1"",""12"",""$pattern = 'TODO|TBD|DRAFT|FIXME|INCOMPLETE'"""
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\docs\technical_debt_todo_prioritized.md","1","# Technical Debt — Prioritized TODO"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\docs\technical_debt_todo_prioritized.md","31","- Update `EXECUTION_TRACKER_REALTIME_FEB9-12.md` (replace [TBD] notes with concrete actions). Owner: PM — 1d"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\docs\technical_debt_todo_prioritized.md","33","- Convert code TODO comments into GitHub issues or fix small items (`translations/pt/docs/ORGANIZACAO_CORRECOES_FEB9.md` lists many). Owner: Dev — 1-2d"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\docs\technical_debt_todo_prioritized.md","35","- Update `IMPLEMENTATION_SUMMARY_FEB11_2026.md` entries marked `⚠️ DRAFT` (local authority letters, website TBD). Owner: PM — 1d"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\docs\technical_debt_todo_prioritized.md","38","- Polish translations & presentation TBD lines (presentations/*, translations/pt/README_TRANSLATIONS.md). Owner: Comms — 2d"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\funding\FUNDING_PROPOSAL_COMPLETE_FEB2026.md","69","- Framework GIS-MCDA que identifica 45+ sítios potenciais em 5 semanas vs 6 meses via método convencional"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\funding\FUNDING_PROPOSAL_COMPLETE_FEB2026.md","76","### **SOLUÇÃO & METODOLOGIA (1.5 pág.)**"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\funding\FUNDING_PROPOSAL_COMPLETE_FEB2026.md","188","### **Secção 2: Metodologia Detalhada (4 pág.)**"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\funding\FUNDING_PROPOSAL_COMPLETE_FEB2026.md","259","1. [ ] Finalizar Secções 1-3 (Contexto + Metodologia + Orçamento detalhado)"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","59","\textbf{Metodologia:} Integramos 6 camadas raster (irradiação solar GHI, declividade, densidade populacional VIIRS, distância à rede, NDVI, luminosidade noturna) através de Weighted Overlay com pesos obtidos via Analytic Hierarchy Process (AHP) com validação de consistência Saaty."
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","78","\item \textbf{Inovação metodológica:} Primeira aplicação integrada de MCDA-SIG + AHP + protocolo de validação em campo para priorização de sistemas solares comunitários em Angola (42 cenários testados)."
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","80","\item \textbf{Reprodutibilidade + Escalabilidade:} Metodologia implementada em código aberto (Python/QGIS), dados públicos (GEE/Sentinel-2/VIIRS), aplicável nacionalmente e a 15+ contextos africanos similares."
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","109","No entanto, a seleção desses 500 locais é um desafio de planejamento espacial extremamente complexo. Uma decisão mal fundamentada pode levar ao subdimensionamento do sistema, à falta de engajamento comunitário, a custos operacionais insustentáveis, ou ao abandono prematuro do projeto. Consequentemente, a metodologia de seleção de sítios deixa de ser uma questão meramente técnica para se tornar um \textbf{fator crítico de sucesso e sustentabilidade} dos investimentos públicos e privados. É neste contexto que soluções descentralizadas e otimizadas espacialmente, como os sistemas solares comunitários identificados através de análise multicritério, não são apenas alternativas atrativas, mas a única via economicamente viável para a universalização do acesso num prazo razoável."
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","113","Apesar do crescente interesse governamental e privado, persistem lacunas metodológicas na escolha de sítios para projetos solares comunitários em Angola. As abordagens atuais costumam usar dados agregados (médias provinciais) e carecem de integração entre variáveis técnicas (irradiação, relevo), sociais (densidade populacional isolada, vulnerabilidade) e econômicas (custos locais, capacidade de financiamento). Falta também validação empírica dessas escolhas. Em suma, existe demanda por um ferramental de apoio à decisão baseado em evidências geoespaciais."
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","119","\item \textbf{Modelo de decisão multicritério:} Formular um modelo de avaliação que combine indicadores técnicos, sociais e econômicos, atribuindo pesos via métodos como AHP e análise de sensibilidade."
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","151","A análise multicritério no contexto de SIG (MCDA-SIG) tem se consolidado como ferramenta-chave para o planejamento espacial de energia renovável. Ela permite integrar múltiplos critérios heterogêneos (técnicos, ambientais, sociais) em mapas de adequação. Métodos clássicos incluem o Analytic Hierarchy Process (AHP), que hierarquiza critérios e atribui pesos via comparações pareadas; a Soma Ponderada, que combina camadas raster por médias ponderadas; e técnicas como TOPSIS, que ordenam locais pela proximidade a uma ``solução ideal''."
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","153","Nassar et al.~\citep{Nassar2025} demonstraram a aplicação de MCDA-SIG para planejamento energético no Iraque. Eles integraram AHP e SIG para avaliar simultaneamente critérios ambientais, econômicos e técnicos (radiação solar, velocidade do vento, declive, uso do solo, distância de rodovias/linhas de transmissão) e obtiveram mapas de áreas aptas para usinas solares ou eólicas. O estudo indicou que cerca de 38\% do território era adequado para projetos solares, validando a eficácia do método."
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","155","Em geral, MCDA-SIG para projetos solares comunitários necessita de critérios adaptados. Além de variáveis tradicionais de recurso, é vital incluir indicadores socioeconômicos (densidade populacional rural, renda média, presença de cooperativas) e de impacto (proximidade de escolas e clínicas). Análises indicam que a modelagem multicritério~---~quando bem calibrada~---~melhora significativamente a tomada de decisão, incorporando incertezas e preferências locais. No entanto, a maioria dos estudos concentra-se em grandes usinas, deixando desafios metodológicos para sistemas de escala reduzida e governança comunitária."
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","188","\item \textbf{Falta de ferramentas analíticas integradas:} Não existem sistemas de apoio à decisão que reúnam dados técnicos e socioeconômicos recentes. O planejamento costuma ocorrer com métodos simplificados e carece de rigor científico."
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","191","Esses pontos reforçam a necessidade de métodos científicos como o proposto neste trabalho para orientar futuros projetos de eletrificação solar comunitária."
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","213","\item \textbf{Satélites de Observação}: NASA POWER (radiação global), Sentinel-2 (cobertura do solo), MODIS (estudos multi-temporais), VIIRS (mapa de eletrificação), Landsat (histórico 40 anos)—todos abertos para analistas."
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","222","\item \textbf{Ausência de Validação Estruturada}: Projetos completados raramente geram dados de feedback que alimentem melhorias futuras. O protocolo de validação em campo do GEESP-Angola (Fase 3 da metodologia) converte lições em aprendizagem adaptativa."
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","239","\item \textbf{Uma metodologia integrada} que combina indicadores técnicos, sociais e de qualidade de vida em uma análise geoespacial unificada."
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","267","Antes de detalhar metodologias técnicas, estabelecemos um quadro de avaliação transparente—EVDT (Environment–Vulnerability–Decision–Technology)—que guia a construção do GEESP-Angola. Este framework, operacionalizado pela comunidade de Earth Observation for Development, assegura que ferramentas geoespaciais não são fins em si mesmas, mas meios para melhorar decisões reais e resultados no terreno."
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","293","\subsection{Framework Metodológico GEESP-Angola}"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","301","\item \textbf{Fase 2: Análise Multicritério para Priorização}: Classificação de áreas potenciais com base em objetivos múltiplos usando métodos como AHP."
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","318","A segunda fase aplica \textbf{métodos de decisão multicritério} para classificar áreas potenciais, envolvendo:"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","374","\item \textbf{MIT Global Classroom / Parcerias Internacionais}: Validação metodológica, acesso a recursos (GEE, dados, formação). Interface: Publicação de resultados; consulta em expansão nacional."
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","403","\textbf{INE} & Validação e provisão de dados demográficos & Fornece/valida dados de população, densidade, projeções censitárias & Discrepâncias em métodos → Comissão Técnica GEESP (ISPTEC-MINEA); conflitos de dados → revisão de terreno & Erro de projeção populacional <5\%; disponibilidade de dados 100\% \\"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","413","\textbf{ISPTEC} & Validação metodológica; desenvolvimento técnico & Define protocolo de validação de campo; calibração do AHP; requisitos técnicos de M\&E & Desacordos metodológicos → revisão de pares internacional (MIT); bloqueios técnicos → solução colaborativa com operadores & Protocolo de validação publicado + peer-reviewed; relatórios de calibração AHP trimestrais \\"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","415","\textbf{MIT / Parcerias Internacionais} & Validação externa; acesso a recursos técnicos & Aprova metodologia MCDA-GIS; consulta em expansão nacional; acesso a dados open-source (GEE, SRTM) & Discordância em robustez metodológica → revisão independente; limitações técnicas → soluções alternativas colaborativas & Publicações em peer-review; seminários de capacitação semestrais; código aberto mantido \\"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","507","\noindent \textbf{Métodos de Normalização e Agregação Espacial:}"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","509","Todos os rasters foram normalizados para escala 0–100 antes da combinação. O método de normalização utilizado foi min-max (Eq.~\ref{eq:normalization}):"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","544","\subsection{Ponderação e agregação: Método de Hierarquia Analítica (AHP)}"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","582","\subsubsection{Flexibilidade Metodológica: Ponderação Personalizada por Perfil Comunitário}"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","642","prioridades políticas sem comprometer a robustez metodológica."
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","741","O Custo Nivelado de Eletricidade (LCOE) foi calculado seguindo a metodologia NREL~\citep{NREL2020} (Eq.~\ref{eq:lcoe}):"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","836","\noindent\textbf{Disponibilidade de dados e código:} Todos os scripts, dados processados, e documentação estão disponíveis no repositório público GitHub (\url{https://github.com/ISPTEC-Energy/geesp-angola}). Os datasets subjacentes (Sentinel-2, SRTM, NASA POWER, VIIRS) foram extraídos via Google Earth Engine (código de extração incluído no repositório). Os testes de unidade cobrem 12 cenários operacionais (7 tests passing, 1 skipped). Tempo de replicação: <30 minutos com credenciais GEE e Python 3.10+."
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","1218","Bateria Li-ion & 1 kWh (capacidade) & 50--150 kgCO2e & Inclui anodos/cátodos, montagem \\"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","1286","\subsection{Contribuições Metodológicas}"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","1292","\item \textbf{Framework replicável:} Metodologia claramente documentada, aplicável a outras províncias ou países com contextos similares"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","1306","\item Reprodutibilidade do método e capacidade de escalonamento nacional."
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","1437","Redação inicial & Escrever Métodos e Resultados; criar figuras & 1 semana \\"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","1454","R. Da Silva: liderança do projeto, análise espacial e redação; A. Dos Santos: processamento de dados e GEE; D. Mpanka: levantamento bibliográfico e validação; A. André, M. Saldanha, L. Da Silva: apoio metodológico, revisão e validação local."
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","1467","1. \textbf{Eficácia metodológica:} A integração de critérios técnicos, socioeconómicos e ambientais em SIG produziu uma classificação espacial robusta e replicável, identificando três zonas prioritárias que combinam alto potencial solar com necessidade significativa de eletrificação."
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","1473","4. \textbf{Potencial de expansão:} A metodologia é escalável para nível nacional e transferível para outros países com desafios similares de eletrificação rural."
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","1479","A adoção de um processo transparente e baseado em evidências para seleção de locais pode reduzir o custo de implementação e aumentar o impacto social das intervenções. A replicabilidade do método facilita sua aplicação a outras províncias e contribui para os objetivos nacionais de eletrificação até 2030."
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","1519","Todos os módulos foram testados (7/7 testes passando) e estão disponíveis no repositório GitHub \url{https://github.com/ISPTEC-Energy/geesp-angola}."
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","1563","Módulo de extração automatizada de dados satelitais em 293 linhas. Classe \texttt{GEEExtractor} fornece métodos para:"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","1587","Módulo financeiro em 378 linhas implementando metodologia NREL/Lazard. Classe \texttt{LCOECalculator} oferece:"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","1596","Método \texttt{compare\_technologies()} retorna DataFrame com LCOE normalizado por kWh para suporte à decisão tecnológica."
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","1653","\textbf{Interpretação}: Os resultados demonstram robustez elevada da análise MCDA, com as três zonas prioritárias mantendo ranking consistente mesmo com variações de ±20\% nos pesos. A Zona 1 (Cacula-Humpata) mantém supremacia em aptidão integrada em todos os cenários testados. Critérios de irradiação solar e declividade apresentam baixa sensibilidade (variação $<$12\%), enquanto densidade populacional exerce maior influência (variação até 45\%) mas não altera conclusões estratégicas."
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","1743","\section{Metodologia Detalhada e Código Fonte}"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","1747","Todos os scripts, código-fonte, dados, e documentação estão disponíveis no repositório oficial:"
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","1796","Todos os testes passam com sucesso, validando a integridade e precisão dos algoritmos implementados."
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL.tex","1800","R.D.S. designed the GEESP-Angola framework, led the study conceptualization, conducted the literature review, and wrote the manuscript. A.D.S. implemented core MCDA and LCOE algorithms, developed the GitHub repository, and conducted code validation. D.M., A.A., M.S., and L.D.S. contributed to field consultation on AHP criteria weights, interpretation of local context, and review of draft methodology."
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL_SUBMISSION.tex","53","Apresentamos o framework GEESP-Angola (Geospatial Energy for Equity and Solar Planning) – uma metodologia integrada de análise multicritério (MCDA) baseada em SIG para identificar locais prioritários e recomendar tecnologias apropriadas para sistemas solares comunitários em Angola. O framework integra indicadores técnicos (GHI, declividade), socioeconómicos (densidade populacional, luzes noturnas) e de infraestrutura (distância à transmissão, estradas) através de uma abordagem de ""Weighted Overlay"" (sobresposição ponderada) com pesos obtidos pelo Processo de Hierarquia Analítica (AHP)."
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL_SUBMISSION.tex","113","No entanto, a seleção desses 500 locais é um desafio de planejamento espacial extremamente complexo. Uma decisão mal fundamentada pode levar ao subdimensionamento do sistema, à falta de engajamento comunitário, a custos operacionais insustentáveis, ou ao abandono prematuro do projeto. Consequentemente, a metodologia de seleção de sítios deixa de ser uma questão meramente técnica para se tornar um \textbf{fator crítico de sucesso e sustentabilidade} dos investimentos públicos e privados. É neste contexto que soluções descentralizadas e otimizadas espacialmente, como os sistemas solares comunitários identificados através de análise multicritério, não são apenas alternativas atrativas, mas a única via economicamente viável para a universalização do acesso num prazo razoável."
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL_SUBMISSION.tex","117","Apesar do crescente interesse governamental e privado, persistem lacunas metodológicas na escolha de sítios para projetos solares comunitários em Angola. As abordagens atuais costumam usar dados agregados (médias provinciais) e carecem de integração entre variáveis técnicas (irradiação, relevo), sociais (densidade populacional isolada, vulnerabilidade) e econômicas (custos locais, capacidade de financiamento). Falta também validação empírica dessas escolhas. Em suma, existe demanda por um ferramental de apoio à decisão baseado em evidências geoespaciais."
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL_SUBMISSION.tex","123","\item \textbf{Modelo de decisão multicritério:} Formular um modelo de avaliação que combine indicadores técnicos, sociais e econômicos, atribuindo pesos via métodos como AHP e análise de sensibilidade."
"C:\Users\rocel\OneDrive\Desktop\MIT SCIENCE PAPER\Full project\manuscript\SOL_SUBMISSION.tex","143","A análise multicritério no contexto de SIG (MCDA-SIG) tem se consolidado como ferramenta-chave para o planejamento espacial de energia renovável. Ela permite integrar múltiplos critérios heterogêneos (técnicos, ambientais, sociais) em mapas de adequação. Métodos clássicos incluem o Analytic Hierarchy Process (AHP), que hierarquiza critérios e atribui pesos via comparações pareadas; a Soma Ponderada, que combina camadas raster por médias ponderadas; e técnicas como TOPSIS, que ordenam locais pela proximidade a uma ``solução ideal''."
