Chapter,File,AgeRaw,CanonicalAge,Notes,NormalizedFrom
30,story/Chapter-30-Communication-Through-Channels.md,20-21,"Aisen: 21","Normalized to 21 (network operations)","front-matter"
31,story/Chapter-31-First-Anti-Covenant-Action.md,21,"Aisen: 21","First coordinated action — canonical","front-matter"
32,story/Chapter-32-Varros-Warning.md,Indeterminate (regressed),"Varro: Indeterminate","Prophetic/regressed character — leave as indeterminate; flag for author review","front-matter"
33,story/Chapter-33-The-Archive-Revelation.md,"40s / 22","Aisen: 22; Archivist: 45","Mixed POV ages — Aisen canonicalized to 22","front-matter"
34,story/Chapter-34-The-Ritual-Discovery.md,Young servant,"Servant: ~16","NPC youth; canonicalized to 16 for timeline purposes (flag if you prefer a different value)","front-matter"
35,story/Chapter-35-Information-Explosion.md,22-23,"Aisen: 23","Normalized to 23 — lead-up to counterstrike","front-matter"
36,story/Chapter-36-Covenant-Counter-Strike.md,Variable,"Multiple ages","Flag — mixed scenes with many ages","front-matter"
37,story/Chapter-37-The-Academy-Purge.md,18-19,"Students: 19 (average)","Normalized to 19 for affected students","front-matter"
38,story/Chapter-38-The-Mentors-Sacrifice.md,"50s / 22","Aisen: 22; Tarovin: 55","Tarovin rounded to 55; Aisen canonicalized to 22","front-matter"
39,story/Chapter-39-Covenant-Headquarters-Confrontation.md,24,"Aisen: 24","Major confrontation — canonical","front-matter"
40,story/Chapter-40-Seraphines-Isolation.md,"~800","Seraphine: 800","Ancient NPC — preserved","front-matter"
41,story/Chapter-41-Caspians-Choice.md,"~40 apparent","Caspian: 40","NPC appearance preserved","front-matter"
42,story/Chapter-42-Corvins-Reckoning.md,"~44","Corvin: 44","NPC preserved","front-matter"
43,story/Chapter-43-Varros-Fragmented-Truth.md,Indeterminate,"Varro: Indeterminate","Prophetic character; leave indeterminate and flag for review","front-matter"
44,story/Chapter-44-The-Death-Immediate-Aftermath.md,24,"Aisen: 24","Death scene anchor — canonical","front-matter"
45,story/Chapter-45-The-Network-Reconvenes.md,24+,"Group: 24-25","Post-battle reorganization — canonicalized to 24-25","front-matter"
46,story/Chapter-46-Refugees-Hear-of-Aisens-Death.md,Various,"Various ages","Ensemble; no single canonical age","front-matter"
47,story/Chapter-47-Amara-Keeper.md,25,"Amara: 25","Post-war keeper role — canonical","front-matter"
48,story/Chapter-48-Kaelens-Garden.md,Mid 20s,"Kaelen: 25","Normalized mid-20s to 25 per Kaelen bio","front-matter + Kaelen bio"
49,story/Chapter-49-Elaras-Ruling.md,30s,"Elara: 33","Normalized to 33 (author review suggested)","front-matter + Elara bio"
50,story/Chapter-50-Final-Micro-Scene-Recurrence.md,Various,"Various ages","Vignettes across cast — no single canonical age","front-matter"
51,story/Chapter-51-The-World-Years-Later.md,Several years later,"Post-war +6 years","Canonicalized as ~6 years after events (author review suggested)","front-matter"
52,story/Chapter-52-Final-Coda.md,Next generation,"Next generation","Epilogue — leave as next-generation cohort","front-matter"
